SaleID,PropertyID,SaleDate,Means of Sales,ClientID,Payment Status
1,1,7/14/2023,Broker,131,Paid
2,3,4/28/2024,Direct,198,Paid
3,4,1/5/2022,Online,123,Pending
4,5,2/4/2022,Online,198,Paid
5,6,6/17/2022,Online,198,Pending
6,7,6/3/2024,Online,147,Pending
7,9,9/23/2022,Online,131,Paid
8,10,3/26/2023,Direct,168,Paid
9,11,9/10/2023,Online,123,Pending
10,12,2/1/2023,Broker,131,Pending
11,13,1/8/2023,Broker,147,Pending
12,14,11/29/2022,Online,132,Paid
13,15,8/6/2024,Broker,168,Pending
14,17,8/23/2024,Online,190,Pending
15,18,5/22/2023,Direct,191,Pending
16,19,12/29/2023,Broker,132,Pending
17,20,2/12/2023,Online,198,Pending
18,21,6/1/2024,Broker,147,Pending
19,22,8/29/2022,Online,198,Paid
20,23,2/10/2023,Broker,198,Pending
21,25,11/16/2022,Direct,168,Pending
22,27,2/19/2024,Broker,190,Paid
23,28,2/22/2023,Broker,132,Paid
24,29,5/18/2022,Broker,147,Paid
25,30,7/22/2024,Broker,123,Pending
26,32,7/5/2023,Online,147,Paid
27,33,1/4/2023,Direct,198,Paid
28,34,3/22/2022,Direct,191,Paid
29,35,2/25/2023,Broker,191,Pending
30,36,8/5/2023,Broker,123,Pending
31,37,7/7/2022,Direct,147,Pending
32,38,9/12/2023,Direct,190,Pending
33,39,9/24/2022,Direct,132,Paid
34,40,4/4/2024,Direct,131,Paid
35,41,6/18/2023,Broker,191,Paid
36,42,12/19/2022,Direct,168,Pending
37,44,2/19/2022,Broker,165,Paid
38,45,3/21/2023,Broker,190,Pending
39,47,10/6/2022,Direct,198,Paid
40,48,6/16/2023,Online,198,Pending
41,49,5/24/2022,Broker,139,Pending
42,50,4/28/2024,Direct,147,Pending
43,51,3/17/2023,Broker,147,Paid
44,52,10/2/2022,Online,132,Paid
45,53,1/19/2023,Direct,104,Pending
46,54,5/3/2022,Broker,139,Pending
47,56,7/23/2024,Online,123,Paid
48,57,7/17/2022,Online,132,Paid
49,59,4/2/2022,Broker,198,Pending
50,61,4/17/2022,Direct,191,Pending
51,62,6/14/2024,Direct,168,Pending
52,63,8/7/2024,Broker,198,Pending
53,64,1/13/2024,Online,190,Paid
54,65,11/25/2022,Online,168,Pending
55,66,7/3/2024,Online,132,Pending
56,67,3/10/2024,Online,168,Pending
57,68,11/9/2023,Broker,147,Paid
58,70,2/24/2023,Online,147,Paid
59,71,9/7/2022,Broker,198,Pending
60,73,7/9/2023,Direct,165,Pending
61,74,4/22/2024,Direct,132,Pending
62,75,2/4/2024,Online,147,Paid
63,76,5/25/2024,Online,190,Paid
64,77,6/28/2024,Online,168,Pending
65,78,1/21/2023,Direct,190,Paid
66,79,4/14/2023,Broker,104,Pending
67,80,5/12/2024,Broker,147,Paid
68,81,5/20/2022,Broker,168,Pending
69,82,2/14/2024,Online,191,Pending
70,85,8/8/2023,Broker,132,Pending
71,87,3/8/2024,Online,147,Paid
72,88,10/9/2023,Direct,190,Pending
73,91,7/1/2024,Broker,190,Pending
74,92,5/30/2022,Online,190,Pending
75,93,2/12/2024,Broker,132,Paid
76,94,6/5/2022,Direct,123,Pending
77,96,10/23/2023,Broker,190,Paid
78,98,12/31/2022,Broker,198,Pending
79,99,8/19/2024,Direct,132,Pending
80,100,2/9/2022,Online,190,Paid
81,101,8/8/2022,Online,147,Paid
82,102,7/30/2022,Online,147,Pending
83,103,3/6/2022,Broker,191,Pending
84,104,3/20/2022,Broker,123,Pending
85,105,7/29/2024,Online,123,Paid
86,106,7/14/2023,Online,198,Paid
87,108,5/15/2022,Broker,139,Paid
88,109,6/27/2024,Online,147,Pending
89,111,1/19/2022,Online,147,Paid
90,113,9/20/2023,Broker,131,Paid
91,114,12/12/2023,Direct,198,Pending
92,115,3/6/2024,Broker,139,Pending
93,117,2/2/2024,Online,132,Paid
94,120,8/14/2023,Online,132,Pending
95,123,2/13/2023,Direct,198,Paid
96,124,5/7/2024,Direct,132,Pending
97,126,3/10/2023,Broker,190,Paid
98,127,7/24/2022,Direct,191,Paid
99,128,2/28/2022,Online,132,Paid
100,129,6/22/2023,Online,168,Paid
101,130,2/24/2023,Online,132,Pending
102,131,7/9/2023,Online,139,Pending
103,132,2/8/2022,Direct,132,Pending
104,133,8/7/2022,Online,132,Pending
105,134,6/27/2023,Online,123,Pending
106,135,2/19/2023,Online,168,Paid
107,136,7/17/2024,Broker,190,Paid
108,137,6/30/2022,Broker,168,Pending
109,138,4/10/2022,Online,190,Paid
110,139,6/20/2023,Direct,190,Pending
111,140,4/20/2024,Direct,190,Pending
112,141,4/8/2023,Broker,139,Pending
113,142,11/27/2022,Broker,104,Paid
114,144,9/28/2023,Direct,168,Pending
115,145,7/16/2022,Broker,139,Pending
116,146,1/30/2022,Broker,168,Pending
117,147,3/2/2024,Online,139,Pending
118,148,10/29/2023,Direct,168,Pending
119,149,3/23/2023,Online,191,Pending
120,150,6/22/2022,Broker,139,Paid
121,152,1/1/2023,Broker,131,Pending
122,153,1/21/2022,Broker,147,Pending
123,154,12/17/2023,Broker,123,Paid
124,156,7/9/2022,Direct,198,Pending
125,157,4/28/2023,Direct,191,Pending
126,158,4/17/2022,Direct,168,Paid
127,159,9/23/2022,Direct,123,Pending
128,160,4/23/2022,Online,147,Pending
129,162,10/5/2023,Online,147,Pending
130,163,8/29/2024,Online,168,Pending
131,164,9/27/2022,Broker,198,Pending
132,165,6/20/2022,Direct,132,Paid
133,167,1/26/2023,Direct,147,Paid
134,168,12/14/2022,Direct,190,Paid
135,169,1/18/2023,Online,139,Pending
136,170,1/28/2022,Broker,147,Pending
137,171,9/10/2023,Broker,198,Pending
138,174,7/20/2024,Broker,132,Paid
139,175,11/21/2023,Online,113,Pending
140,176,7/20/2022,Direct,190,Paid
141,177,3/3/2024,Online,132,Pending
142,178,5/4/2024,Direct,168,Pending
143,179,12/7/2023,Broker,131,Pending
144,181,8/10/2024,Direct,191,Pending
145,182,7/19/2023,Broker,190,Paid
146,183,12/25/2023,Broker,147,Pending
147,184,8/10/2023,Broker,198,Pending
148,185,7/8/2024,Direct,147,Pending
149,186,3/30/2023,Online,147,Pending
150,187,7/22/2023,Broker,190,Pending
151,189,8/3/2024,Direct,147,Pending
152,190,7/21/2024,Broker,168,Pending
153,191,4/23/2022,Direct,198,Paid
154,193,1/18/2022,Online,139,Paid
155,194,8/15/2024,Broker,191,Paid
156,195,1/5/2024,Broker,198,Paid
157,196,3/5/2022,Broker,139,Paid
158,198,11/26/2023,Online,147,Pending
159,199,12/3/2023,Direct,190,Paid
160,200,4/5/2024,Broker,131,Pending
